,Id,CreationDate,DeletionDate,Body,LastEditDate,LastActivityDate,Title,Tags,ClosedDate,CommunityOwnedDate,ContentLicense,opencv,matlab,emgucv,scikit-image,ffmpeg
23,8702946,2012-01-02 16:09:48,,"<p>i have 2 images. main image of a face, and a mouth image(a rectangle). i attach the mouth image to the main image replacing the main image's mouth. i'd like to make the mouth look like it belongs to the main image (colors around the mouth are too light/dark). 
i was wandering how to do so ? using mask functions ? or altering each pixel ? </p>

<p>main image and mouth image are both opencv images, but if bitmap class has a useful function for my problem i can change that type. </p>

<p>thanks in advanced. </p>
",,2012-01-03 08:56:22,"merge 2 opencv images, then darken / lighten the main image",<c#><image><image-processing><opencv><emgucv>,,,CC BY-SA 3.0,True,False,True,False,False
76,8740869,2012-01-05 10:22:34,,"<p>I am building an object tracking program that should track the unknown object. The user must select a region in the live video stream that should be tracked. My project is similar to this video.</p>

<p><a href=""http://www.youtube.com/watch?v=G5GLIKIkd6E"" rel=""nofollow"">http://www.youtube.com/watch?v=G5GLIKIkd6E</a></p>

<p>I have tried a method but it is not robust enough and the tracker moves a lot. So I am starting from scratch again. </p>

<p>Anyone knows a method on how I can come up with the one in the video? I am a newbie in emgucv and as of now I really have no idea where to start again. </p>
",,2018-05-08 12:20:22,Object Tracking in EmguCV,<c#><opencv><emgucv><template-matching>,,,CC BY-SA 3.0,True,False,True,False,False
84,8767333,2012-01-07 04:23:51,,"<p>In OpenCV I use <code>std::vector&lt;std::vector&lt;cv::Point&gt;&gt;::const_iterator</code> like the code here:</p>

<pre><code>std::vector&lt;std::vector&lt;cv::Point&gt;&gt; contours;
cv::findContours(contour,contours,CV_RETR_TREE,CV_CHAIN_APPROX_SIMPLE);    
std::vector&lt;std::vector&lt;cv::Point&gt;&gt;::const_iterator itContours = contours.begin();

while(itContours != contours.end())
{
    if(Condition1)
        itContours = contours.erase(itContours);
    else if(Condition2)
    itContours = contours.erase(itContours);
    else if(Condition3)
        itContours = contours.erase(itContours);
    else
        ++itContours;
}
</code></pre>

<p>But now I start using EmguCV but I can't find how to do like the code above. How can I do it?</p>
",2012-01-09 09:58:35,2019-11-15 02:04:22,How to use iterator in C# with EmguCV?,<c#><c++><opencv><emgucv>,,,CC BY-SA 3.0,True,False,True,False,False
141,8800212,2012-01-10 08:07:11,,"<p>I am creating a windows application using C#, where in a button on the GUI when clicked, should display the on-screen keyboard.</p>

<p>Would appreciate if any help is granted. thanks.</p>

<p>Also, since I am mostly using Emgu Cv library for the rest of my app, Can we simply use it for calling the On-screen keyboard?</p>
",,2017-10-05 14:58:50,Calling the on-screen keyboard using a button in C#,<c#><.net><emgucv><on-screen-keyboard>,,,CC BY-SA 3.0,False,False,True,False,False
252,8896387,2012-01-17 14:33:13,,"<p>I am developing an application called virtual wardrobe and for that application I need to know the size of the user .My question is how to obtain size of the user from edge detected image .I m using cvcanny for edge detection .
I don't have much knowledge about emgu.
Any suggestions .
Thank you in advance </p>
",,2013-03-15 03:52:39,cvcanny and emgu,<emgucv>,,,CC BY-SA 3.0,False,False,True,False,False
289,9907490,2012-03-28 12:27:58,,"<p>I have an <code>UInt16</code> array representing an image and width/height for it, and I would like to turn this into an EMGU image in the least painful way possible.</p>

<p>EMGU has an <code>Image</code> constructor that looks promising, which is described <a href=""http://www.emgu.com/wiki/files/2.3.0/document/html/84dd94e7-f03f-ceb8-f629-8462326d13a6.htm"" rel=""nofollow"">here</a>.</p>

<p>But I can't understand how to format my data, it says that the first dimension is height, but why would I need a whole dimension to describe ONE number? Clearly there is something I don't understand. Something like <code>Image(ushort[], height, width)</code> makes more sense to me. </p>
",2012-04-04 07:30:00,2012-04-04 07:30:00,UInt16[] to EMGU image in C#,<c#><.net><emgucv><image-generation>,,,CC BY-SA 3.0,False,False,True,False,False
305,8891787,2012-01-17 08:46:40,,"<p>I used EmguCV in C# for a face recognition project, but I found Emgu's support vector machine (SVM) predicts wrong classes when I use poly and RBF (redial basis function) kernels.</p>

<p>I compared Emgu's SVM answers with Matlab's svmclassify and found Matlab classifies all test cases right but Emgu predicts wrong.
may be there is something wrong with my code, but I don't this think so.</p>

<p>I reported the bug I found ----> <a href=""http://www.emgu.com/bugs/show_bug.cgi?id=53"" rel=""nofollow"">here</a> &lt;----, but I got no answers.</p>

<p>can anyone help me to find out what is wrong with Emgu's SVM or to find a library for a good multi-class support vector machine that uses different kernels like RBF (redial basis function)</p>
",,2012-01-18 08:33:57,"Emgu SVM classifier, predicts incorrect with poly and RBF kernels",<machine-learning><emgucv><face-recognition><svm>,,,CC BY-SA 3.0,False,True,True,False,False
314,8910314,2012-01-18 12:46:59,,"<p>I need to write wrapper to my C++ code to use it inside c# application. Basicly I need to preocess Emgu image from C# in c++ side and return it back. I try to do it this way in un-managed c++ side:</p>

<pre><code>public ref class ImageProcessor
{
public:
    void process(Image&lt;Bgr, Byte&gt;^ InImage)
    {
            cv::Mat image(InImage-&gt;Width,
                          InImage-&gt;Height,
                          CV_8UC3,
                          InImage-&gt;Ptr.ToPointer());

            cv::imwrite(""mask.png"", mask); //this line throws exception 

    }
 };
</code></pre>

<p>When I call thiss function from c#, the exception is throw:
System.AccessViolationException was unhandled
  Message=Attempted to read or write protected memory. This is often an indication that other memory is corrupt.</p>

<p>Question is how to correctly pass Emgu::CV::Image^ from managed code to unmanaged c++?</p>
",2012-01-18 14:40:31,2012-01-18 14:40:31,using Emgu Image in unmanaged c++ code,<c#><opencv><c++-cli><emgucv>,,,CC BY-SA 3.0,True,True,True,False,False
350,8918080,2012-01-18 21:58:53,,"<p>Hi all I have a simple question that I have been struggling with....what is the difference, if any, between motion component (blob?) tracking and blob tracking? As defined by OpenCV.</p>

<ol>
<li><p>Does one cover the other? or are they entirely different things?</p></li>
<li><p>Can they be used in conjunction to improve tracking accuracy?</p></li>
<li><p>Is the former designed for motion while the latter for (relatively) static objects? </p></li>
</ol>

<p>Thanks for helping out a newbie. </p>

<p>p.s. I am using Emgu (on .NET) and my terminology might reflect that.</p>
",,2012-01-24 07:42:47,Motion Tracking vs Blob Tracking,<opencv><motion-detection><emgucv>,,,CC BY-SA 3.0,True,False,True,False,False
358,9915001,2012-03-28 20:16:05,,"<p>I am trying to make a movie with openCV.  I can put all the images into the avi and it works great, except that the image is slanted at a big angle.  It looks like it has been smeared across the image.</p>

<p>The frames are perfectly square, so it cannot be a matter of getting the height and width confused.  The images are 24 bit.  The other thing that is weird is that it does not seem to be consistent when it happens.  sometimes it looks great, sometimes it is slanted.</p>

<p>Here is an image from the movie:
<a href=""http://dl.dropbox.com/u/63600049/MIP.avi"" rel=""nofollow"">http://dl.dropbox.com/u/63600049/MIP.avi</a></p>

<p>Here is the code:</p>

<p>PINVOKE Method</p>

<pre><code>                IntPtr _ptr = CvInvoke.cvCreateVideoWriter(AVIFilename, CvInvoke.CV_FOURCC('M', 'J', 'P', 'G'), 15, size, 1);

                int count = 0;
                for (int n = 1; n &lt; Frames.Length; n++)
                {
                    if (Frames[n].Trim().Length &gt; 0)
                    {
                        try
                        {
                            FileInfo file = new FileInfo(Frames[n]);
                            IntPtr ptr = CvInvoke.cvLoadImage(file.FullName, Emgu.CV.CvEnum.LOAD_IMAGE_TYPE.CV_LOAD_IMAGE_ANYCOLOR | Emgu.CV.CvEnum.LOAD_IMAGE_TYPE.CV_LOAD_IMAGE_ANYDEPTH);
                            if (ptr == IntPtr.Zero)
                                throw new NullReferenceException(String.Format(""Unable to load image from file \""{0}\""."", file.FullName));

                            CvInvoke.cvWriteFrame(_ptr, ptr);
                            //VW.WriteFrame&lt;Bgr, byte&gt;(frame);
                            count++;
                        }
                        catch (Exception ex)
                        {
                            System.Diagnostics.Debug.Print(ex.Message);
                        }
                    }
                }
                CvInvoke.cvReleaseVideoWriter(ref _ptr);
</code></pre>

<p>EMGU Version</p>

<pre><code> public static void CreateAVIVideoEMGU(string AVIFilename, string[] Frames)
    {
        Bitmap bitmap = new Bitmap(Frames[0]);

        VideoWriter VW = null;

        VW = new VideoWriter(AVIFilename, CvInvoke.CV_FOURCC('M', 'J', 'P', 'G'), 15, bitmap.Height, bitmap.Width, true);

        int count = 0;
        for (int n = 1; n &lt; Frames.Length; n++)
        {
            if (Frames[n].Trim().Length &gt; 0)
            {
                var frame = new Emgu.CV.Image&lt;Bgr, byte&gt;(ConvertBitmapTo24(new Bitmap ( Frames[n])));
                VW.WriteFrame&lt;Bgr, byte&gt;(frame);
                count++;
            }
        }

        VW.Dispose();
    }
</code></pre>

<p>The images are all 24 bit jpg of the same dimensions</p>
",2012-03-29 23:45:02,2012-03-30 12:21:50,Slanted video in openCV,<c#><opencv><emgucv>,,,CC BY-SA 3.0,True,False,True,False,False
