,Id,CreationDate,DeletionDate,Body,LastEditDate,LastActivityDate,Title,Tags,ClosedDate,CommunityOwnedDate,ContentLicense,opencv,matlab,emgucv,scikit-image,ffmpeg
26,8723606,2012-01-04 07:49:18,,"<p>I use Qt &amp; OpenCV to record video and QAudioInput to record audio into wav format. I want to combine them into one video file. How can I accomplish this? I have researched so much but I can't seem to find a command to accomplish this.</p>

<p>I use both Windows and Mac.</p>
",2013-01-18 01:48:35,2013-01-18 01:48:35,FFMPEG command to combine a WAV file and a video file?,<windows><qt><opencv><ffmpeg><osx-snow-leopard>,,,CC BY-SA 3.0,True,False,False,False,True
39,8724002,2012-01-04 08:32:22,,"<p>I try to record a Video with the OpenCV Framework an would like to save that into an Matroska(mkv) Container together with some additional data streams.</p>

<p>First I thought using FFmpeg is the way that.
But while looking into the OpenCV Sourcecode and searching in the web I found GStreamer.</p>

<p>Because the documentation in GStreamer is much better than the FFmpeg documentation I would prefer using this Framework.</p>

<p>In my understanding GStreamer is primarily used for Streaming, but could also rncode and mux video data.</p>

<p>Is there any disadvantage when using GStreamer instead of FFmpeg?</p>

<p>Thanks in advance
Horst</p>
",,2020-09-29 15:32:00,GStreamer vs FFmpeg,<opencv><ffmpeg><gstreamer>,,,CC BY-SA 3.0,True,False,False,False,True
93,8771334,2012-01-07 16:50:39,,"<p>I am trying to install the library Open-CV working on on Ubuntu 11.04.</p>

<p>I followed all instructions found in the <a href=""http://opencv.willowgarage.com/wiki/InstallGuide_Linux"" rel=""nofollow"">InstallationGuide</a>.</p>

<p>However after installing with success I realized that I hadn't <code>FFMPEG</code> support because in my configuration file <code>FFMPEG</code> was disabled:</p>

<pre><code>Video I/O: 
--     DC1394 1.x:                 NO 
--     DC1394 2.x:                 YES 
--     FFMPEG:                     NO 
--       codec:                    YES 
--       format:                   YES 
--       util:                     YES 
--       swscale:                  NO 
--       gentoo-style:             YES 
--     GStreamer:                  YES 
--     UniCap:                     NO 
--     PvAPI:                      NO 
--     V4L/V4L2:                   Using libv4l 
--     Xine:                       NO
</code></pre>

<p>So I tried to rebuild everything after installing FFMEPG as decribed <a href=""http://ubuntuforums.org/showthread.php?t=786095"" rel=""nofollow"">here</a>.</p>

<p>After configuring installation with the instruction</p>

<pre><code>cmake -D CMAKE_BUILD_TYPE=RELEASE -D CMAKE_INSTALL_PREFIX=/usr/local -D BUILD_PYTHON_SUPPORT=ON ../OpenCV-2.3.1
</code></pre>

<p>I ran the make command getting this error:</p>

<pre><code>make[2]: *** [bin/opencv_test_calib3d] Error 1
make[1]: *** [modules/calib3d/CMakeFiles/opencv_test_calib3d.dir/all] Error 2
make: *** [all] Error 2
</code></pre>

<p>This is the point of compilation where the error is coming out:</p>

<pre><code>Linking CXX executable ../../bin/opencv_test_calib3d
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis_headerout'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_out_samplerate'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_disable_reservoir'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_encode_buffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaUnmapBuffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaDestroyBuffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_comment_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_param_default'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_param_apply_profile'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_brate'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_headers'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncGetCurrentConfiguration'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis_blockout'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_info_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis_buffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_comment_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaCreateBuffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_bWriteVbrTag'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncSetConfiguration'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_ctl'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `D_IF_decode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncGetDecoderSpecificInfo'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_block_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_close'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_encode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_VBR'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Encoder_Interface_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_get_framesize'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncOpen'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_packetout'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_quality'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Decoder_Interface_exit'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_alloc'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_encode_setup_vbr'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_info_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_in_samplerate'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_reconfig'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_param_apply_fastfirstpass'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_VBR_quality'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_mode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `D_IF_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_set_num_channels'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncEncode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_encode_setup_managed'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Encoder_Interface_exit'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Decoder_Interface_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaRenderPicture'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_encode_ctl'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_info_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_delayed_frames'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_param_parse'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_free'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `D_IF_exit'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_dsp_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Decoder_Interface_Decode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaMapBuffer'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_block_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_bit_depth'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_picture_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_close'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_encoder_open_120'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `faacEncClose'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaEndPicture'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_encode_flush'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_encode_buffer_interleaved'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_comment_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_comment_clear'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_init_params'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `x264_param_default_preset'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_encode_setup_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_bitrate_addblock'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_comment_add_tag'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_flushheader'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `lame_encode_buffer_int'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `th_encode_ycbcr_in'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_bitrate_flushpacket'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_analysis_wrote'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vorbis_info_init'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `Encoder_Interface_Encode'
../../lib/libopencv_highgui.so.2.3.1: undefined reference to `vaBeginPicture'
collect2: ld returned 1 exit status
</code></pre>

<p>can anybody please tell me what's the problem with installation process I'm following?</p>

<p>Why is there this library referentiation error?</p>
",2013-12-24 13:09:03,2013-12-24 13:09:03,Error in installing Open-CV with ffmpeg,<c><opencv><ffmpeg><makefile><cmake>,,,CC BY-SA 3.0,True,False,False,False,True
169,8823320,2012-01-11 16:58:05,,"<p>This is somewhat of a follow up to a question posted earlier last month.
In porting my work, to the work computer, I'm experiencing some new convolution problem.</p>

<p>So, my kernel is 30x30 size and now OpenCV complains:</p>

<pre><code>Assertion failed (templ.cols &lt;= 17 &amp;&amp; templ.rows &lt;= 17) in convolve, file /home/jeffrey/opencv/src/modules/gpu/src/imgproc.cpp, line 1677
terminate called after throwing an instance of 'cv::Exception'
</code></pre>

<p>So far this is the only noticeable problem I'm getting with the port so far.. </p>

<p>Is this new, is this normal?</p>

<p>i'm also getting 2 errors which are most likely unrelated, but worth mentioning </p>

<pre><code>[swscaler @ 0x9422b00]No accelerated colorspace conversion found.
</code></pre>

<p>This is likely ffmpeg error</p>

<p>but i'm also getting an error stating OpenGL version unsupported</p>

<p>Could this be the culprit?</p>
",2012-01-11 21:42:49,2012-01-12 20:18:02,OpenCV convolution kernel size,<c++><opencv><gpu>,,,CC BY-SA 3.0,True,False,False,False,True
189,8864467,2012-01-14 18:46:26,,"<p>I have read many, many threads about streaming images over IP in <strong>OpenCV 2.3.1</strong>, but I still cannot get my program to work.</p>

<p>I downloaded <strong>IP Webcam for Android</strong> from <a href=""https://market.android.com/details?id=com.pas.webcam&amp;hl=en"" rel=""noreferrer"">https://market.android.com/details?id=com.pas.webcam&amp;hl=en</a>, and recently learned OpenCV to retrieve images from my Android phone camera.</p>

<p>Its built-in manual said that the image from the phone camera can be located at <a href=""http://the.phone.ip.address:8080/shot.jpg"" rel=""noreferrer"">http://the.phone.ip.address:8080/shot.jpg</a>. I have opened it from browser several times and it always looks fine. I also built OpenCV manually, with <strong>FFmpeg</strong> support.</p>

<p>So far I've tried</p>

<pre><code>CvCapture* webcam = cvCaptureFromFile(""http://192.168.1.220:8080/shot.jpg"");
</code></pre>

<p>but it returns NULL and outputs</p>

<pre><code>[image2 @ 0xd701e0]Could not find codec parameters (Video: mjpeg, yuv420p)
</code></pre>

<p>I also tried replacing http with rtsp, but it still doesn't work. I also tried to replace the url with some other image url (one direct link to random image from Google Images, and one from localhost) and it always kills with a segfault.</p>

<p>Here's my full source</p>

<pre><code>#include &lt;stdlib.h&gt;
#include &lt;stdio.h&gt;
#include &lt;math.h&gt;
#include &lt;cv.h&gt;
#include &lt;highgui.h&gt;

int main(int argc, char* argv[])
{ 
  CvCapture* webcam = cvCaptureFromFile(""http://192.168.1.220:8080/shot.jpg"");
  if(!webcam)
    {
      fprintf(stderr, ""cannot open webcam\n"");
      return 1;
    }

  IplImage* img = cvQueryFrame(webcam);
  if(!img)
    {
      fprintf(stderr, ""cannot get image\n"");
      return 1;
    }

  cvNamedWindow(""test"", CV_WINDOW_AUTOSIZE);
  cvShowImage(""test"", img);
  cvWaitKey(0);
  cvReleaseImage(&amp;img);
  /**/ cvReleaseCapture(&amp;webcam); /**/
  cvDestroyWindow(""test"");
  return 0;
}
</code></pre>

<p>Can OpenCV really read images over IP, or am I missing something?</p>
",,2014-02-26 14:43:58,"c, opencv - accessing camera JPG image over ip",<c><opencv>,,,CC BY-SA 3.0,True,False,False,False,True
220,8868540,2012-01-15 08:49:08,,"<p>I'm programming in QT for android device and need to use openCV for capture from camera. I already used Qt creator and linked openCV and used camera, but in Qt for android (necessitas) when build program, show this errors:</p>

<pre><code>C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(cap_images.o): In function `CvCapture_Images::close()':
    cap_images.cpp:(.text._ZN16CvCapture_Images5closeEv+0x1c): undefined reference to `cvReleaseImage'
    C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(cap_images.o): In function `CvCapture_Images::grabFrame()':
    cap_images.cpp:(.text._ZN16CvCapture_Images9grabFrameEv+0x1e): undefined reference to `cvReleaseImage'
    C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(cap_ffmpeg.o): In function `CvCapture_FFMPEG_proxy::retrieveFrame(int)':
    cap_ffmpeg.cpp:(.text._ZN22CvCapture_FFMPEG_proxy13retrieveFrameEi[CvCapture_FFMPEG_proxy::retrieveFrame(int)]+0x50): undefined reference to `cvInitImageHeader'
    cap_ffmpeg.cpp:(.text._ZN22CvCapture_FFMPEG_proxy13retrieveFrameEi[CvCapture_FFMPEG_proxy::retrieveFrame(int)]+0x5a): undefined reference to `cvSetData'
    C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(cap_ffmpeg.o): In function `CvVideoWriter_FFMPEG_proxy::writeFrame(_IplImage const*)':
    cap_ffmpeg.cpp:(.text._ZN26CvVideoWriter_FFMPEG_proxy10writeFrameEPK9_IplImage[CvVideoWriter_FFMPEG_proxy::writeFrame(_IplImage const*)]+0x5e): undefined reference to `cv::Exception::Exception(int, std::string const&amp;, std::string const&amp;, std::string const&amp;, int)'
    cap_ffmpeg.cpp:(.text._ZN26CvVideoWriter_FFMPEG_proxy10writeFrameEPK9_IplImage[CvVideoWriter_FFMPEG_proxy::writeFrame(_IplImage const*)]+0x64): undefined reference to `cv::error(cv::Exception const&amp;)'
    cap_ffmpeg.cpp:(.text._ZN26CvVideoWriter_FFMPEG_proxy10writeFrameEPK9_IplImage[CvVideoWriter_FFMPEG_proxy::writeFrame(_IplImage const*)]+0x6a): undefined reference to `cv::Exception::~Exception()'
    cap_ffmpeg.cpp:(.text._ZN26CvVideoWriter_FFMPEG_proxy10writeFrameEPK9_IplImage[CvVideoWriter_FFMPEG_proxy::writeFrame(_IplImage const*)]+0x11c): undefined reference to `cv::Exception::~Exception()'
C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(grfmt_tiff.o): In function `cv::TiffEncoder::newEncoder() const':
grfmt_tiff.cpp:(.text._ZNK2cv11TiffEncoder10newEncoderEv+0x16): undefined reference to `cv::fastMalloc(unsigned int)'
C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(grfmt_tiff.o): In function `cv::TiffDecoder::newDecoder() const':
grfmt_tiff.cpp:(.text._ZNK2cv11TiffDecoder10newDecoderEv+0x16): undefined reference to `cv::fastMalloc(unsigned int)'
C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_highgui.a(grfmt_tiff.o): In function `cv::TiffDecoder::~TiffDecoder()':
grfmt_tiff.cpp:(.text._ZN2cv11TiffDecoderD1Ev+0x48): undefined reference to `cv::fastFree(void*)'
grfmt_tiff.cpp:(.text._ZN2cv11TiffDecoderD1Ev+0x6e): undefined reference to `cv::Mat::deallocate()'
        .
        .
        .
</code></pre>

<p>first I download latest version of openCV and build it and then use libs. also in </p>

<p>project.pro</p>

<p>add this lines:</p>

<pre><code>INCLUDEPATH += ""C:\OpenCV2.3.1\include\opencv"" 
LIBS +=""C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_androidcamera.a"" \
""C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_calib3d.a"" \
""C:/OpenCV2.3.1/libs/armeabi-v7a/libopencv_calib3d_pch_dephelp.a"" \ .
...
</code></pre>

<p>can necessitas support openCV? why show this errors?</p>

<p>sorry for my English. </p>
",2012-01-15 10:29:14,2012-04-02 06:28:16,error in necessitas while use openCV libs,<android><qt><opencv><qt4>,,,CC BY-SA 3.0,True,True,False,False,True
269,8904127,2012-01-18 01:40:45,,"<p>I am trying to use the Qt new functions described here:
<a href=""http://opencv.willowgarage.com/documentation/cpp/qt_new_functions.html#cv-createbutton"" rel=""nofollow noreferrer"">http://opencv.willowgarage.com/documentation/cpp/qt_new_functions.html#cv-createbutton</a></p>

<p>And I also found this topic on SO:
<a href=""https://stackoverflow.com/questions/4458668/opencv-2-2-createbutton-lnk-2019-error-in-visual-studio-2010"">openCV 2.2 createButton LNK 2019 error in Visual Studio 2010</a>
but compiling with QT didn't work.</p>

<p>Anyway, according to my searches it seems to be a linking problem. My doubt is that I already compiled OpenCV (without QT) but I can use the createTrackbar normally.</p>

<p>I tried using the createButton as this:</p>

<pre><code>cv::createButton(""buttonCanny"",    buttonCallBackCanny,NULL,CV_RADIOBOX,true);
</code></pre>

<p>But I get this error:</p>

<blockquote>
  <p>undefined reference to `cv::createButton(std::string const&amp;, void
  (<em>)(int, void</em>), void*, int, bool)'</p>
</blockquote>

<p>I tried the cvCreateButton but I get the same error.</p>

<p>I have this setup
C/C++ Build -> Settings -> Tool Settings -> MingGW C++ Linker -> Libraries (all the .dll from compiled OpenCV)</p>

<ul>
<li>libopencv_calib3d230 </li>
<li>opencv_ffmpeg </li>
<li>libopencv_contrib230</li>
<li>libopencv_core230 </li>
<li>libopencv_features2d230 </li>
<li>libopencv_flann230</li>
<li>libopencv_gpu230 </li>
<li>libopencv_highgui230 </li>
<li>libopencv_imgproc230</li>
<li>libopencv_legacy230 </li>
<li>libopencv_ml230 </li>
<li>libopencv_objdetect230</li>
<li>libopencv_video230</li>
</ul>

<p>C/C++ Build -> Settings -> Tool Settings -> MingGW C++ Linker -> Search Path (""C:\opencvbin\bin"" where the Dll are)</p>

<p>C/C++ Build -> Settings -> Tool Settings -> GCC C++ Compiler -> Includes
""C:\OpenCV2.3\build\include""</p>

<p>Any suggestions?</p>

<p>Thank you!</p>
",2017-05-23 12:03:15,2012-05-06 05:12:56,OpenCV 2.3 - undefined reference to cvCreateButton - Eclipse,<c++><qt><opencv>,,,CC BY-SA 3.0,True,False,False,False,True
328,14756767,2013-02-07 17:03:33,,"<p>I am trying to read avi video and write it again as it is without any change using openCV 2.4.0 on MAC 10.6.8 </p>

<p>My videos is grayscale with frame_rate = 25 and Codec = 827737670 which is FFV1 (I guess)</p>

<p>The problem is .... 
when I read and write the video as it is .... I see many changes in size and in color ... 
After 3 or 4 times of writing I can see the video start to be (Pink) color !!!</p>

<p>I am not sure what is the problem !!! </p>

<p>this is my code for the people who interest </p>

<p>Appreciate your help in advance :D </p>

<p>Seereen</p>

<p>Note : I have on my computer FFMPEG V 0.11 (I do not know if this important)    </p>

<pre><code>{    

int main (int argc, char * const argv[]) {
    char name[50];

    if (argc==1)
    {
        printf(""\nEnter the name of the video:"");
        scanf(""%s"",name); 

    } else if (argc == 2)
        strcpy(name, argv[1]);

    else 
    {
        printf(""To run this program you should enter the name of the program at least, or you can enter the name of the program then the file name"");
        return 0; 
    }

    cvNamedWindow( ""Read the video"", CV_WINDOW_AUTOSIZE );

    // GET video
    CvCapture* capture = cvCreateFileCapture( name );
    if (!capture ) 
    {
        printf( ""Unable to read input video."" );
        return 0;
    }

    double fps = cvGetCaptureProperty( capture,CV_CAP_PROP_FPS);
     printf( ""fps %f "",fps );
    int codec = cvGetCaptureProperty( capture,CV_CAP_PROP_FOURCC);
    printf( ""codec %d "",codec );
    // Read frame
    IplImage* frame = cvQueryFrame( capture );
    // INIT the video writer
    CvVideoWriter *writer = cvCreateVideoWriter( ""x7.avi"", codec, fps, cvGetSize(frame),1);
    while(1) 
    {
        cvWriteFrame( writer, frame );
        cvShowImage( ""Read the video"", frame );
        // READ next frame
        frame = cvQueryFrame( capture );
        if( !frame ) 
            break;
        char c = cvWaitKey(33);
        if( c == 27 ) 
            break;
    }

    // CLEAN everything
    cvReleaseImage( &amp;frame );
    cvReleaseCapture( &amp;capture );
    cvReleaseVideoWriter( &amp;writer );
    cvDestroyWindow( ""Read the video"" );    
    return 0;}

   } 
</code></pre>
",2013-02-07 17:25:57,2013-04-13 03:09:09,read/write avi video on MAC using openCV,<c><macos><video><opencv><grayscale>,,,CC BY-SA 3.0,True,False,False,False,True
333,13799586,2012-12-10 10:58:39,,"<p>I started working on a new computer a tried to set everything as it used to be on my old one. Unfortunately switching to 64bit Windows made everything quite difficult.</p>

<p>With the current setup I can only open raw I420 videos converted with memcoder, but I can't open DivX/XVID videos, that I used to on my old PC. I tried ffdshow and K-Lite codec pack. Opening the videos in gspot shows that the codecs are indeed installed.</p>

<p>I've searched for solution all over the Internet, but I couldn't find the solution. I've tried copying the ffmpeg dll into the Python27 folder.</p>

<p>The environment is 64bits Windows 7 Pro</p>

<p><strong>EDIT:</strong></p>

<p>I tried saving a video using OpenCV:</p>

<p>I passed -1 to the cv2.VideoWriter function to get the codec selection dialog. The dialog dosn't show the ffdshow codecs.</p>
",2012-12-10 15:42:45,2014-04-16 06:59:35,Open DivX/XVID videos in OpenCV Python,<python><opencv><ffmpeg><codec>,,,CC BY-SA 3.0,True,False,False,False,True
429,10900849,2012-06-05 16:09:09,,"<p>I have a series of images that change relatively little during the day, but suffer from severe over and underexposure sometimes.  There's nothing I can do in the way of fixing the loss of details, however I want to make it so that one from to the next is not so jolting.  In other words, I'd like to normalize brightness / color levels the sequence of images so that it feels more consistent from one from to the next.  Ultimately this sequence is being encoded to a video and therefore why this is important to me.</p>

<p>How can I normalize these values for a series of a few hundred frames via ImageMagick or some other means?</p>
",,2012-06-05 19:03:21,Normalization of a sequence of images via ImageMagick or other means?,<image><image-processing><ffmpeg><imagemagick><video-processing>,,,CC BY-SA 3.0,False,False,False,False,True
