,Unnamed: 0,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,HotScore
19773,19773,54334304,1,54409674.0,,2019-01-23 19:24:21,,31,44775,difference spacy load en core web sm spacy load en link explains different model size still clear spacy load en core web sm spacy load en differ spacy load en run fine spacy load en core web sm throw error installed go jupyter notebook run command nlp spacy load en core web sm get error oserror traceback recent call last import spacy load language library import spacy nlp spacy load en core web sm create doc object c user nikhizzz appdata local conda conda envs tensorflowspyder lib site package spacy init py load name override depr path true false none deprecation warning warning w format path depr path return util load model name override c user nikhizzz appdata local conda conda envs tensorflowspyder lib site package spacy util py load model name override elif hasattr name exists path path like model data return load model path name override raise ioerror error e format name name oserror e find model en core web sm seem shortcut link python package valid path data directory installed spacy c user nikhizzz appdata local conda conda envs tensorflowspyder c user nikhizzz conda install c conda forge spacy fetching package metadata solving package specification package plan installation environment c user nikhizzz appdata local conda conda envs tensorflowspyder following new package installed blas mkl cymem py h conda forge dill py conda forge msgpack numpy py conda forge murmurhash py h conda forge plac py conda forge preshed py h conda forge pyreadline py conda forge regex py conda forge spacy py h ac b conda forge termcolor py conda forge thinc py h ac b conda forge tqdm py conda forge ujson py hfa e cd conda forge following package updated msgpack python py py bc conda forge following package downgraded freetype vc conda forge vc proceed n blas mkl time b cymem p time mb msgpack python time mb murmurhash time mb plac py time b pyreadline time mb regex time mb termcolor time kb tqdm py time mb ujson py time mb dill p time mb msgpack numpy time b preshed time b thinc p time mb spacy p time mb c user nikhizzz appdata local conda conda envs tensorflowspyder c user nikhizzz python v python anaconda custom bit c user nikhizzz appdata local conda conda envs tensorflowspyder c user nikhizzz python spacy download en collecting en core web sm http github com explosion spacy model release download en core web sm en core web sm tar gz egg en core web sm downloading http github com explosion spacy model release download en core web sm en core web sm tar gz mb mb installing collected package en core web sm running setup py install en core web sm done successfully installed en core web sm linking successful c user nikhizzz appdata local conda conda envs tensorflowspyder lib site package en core web sm c user nikhizzz appdata local conda conda envs tensorflowspyder lib site package spacy data en load model via spacy load en c user nikhizzz appdata local conda conda envs tensorflowspyder c user nikhizzz,,2020-09-10 19:45:29,spacy find model en core web sm window python anaconda custom bit,python-3.x spacy,11,2,8.0,,,CC BY-SA 4.0,0.00011816362611570509
23335,23335,58636587,1,,,2019-10-31 03:34:11,,16,7533,know bert ha max length limit token acticle ha length much bigger token text bert used,2019-11-05 22:56:47,2020-09-02 12:11:33,use bert long text classification,nlp text-classification bert-language-model,5,0,3.0,,,CC BY-SA 4.0,9.251026761830646e-05
1166,1166,16370583,1,,,2013-05-04 04:29:21,,104,204759,difficult time using pip install almost anything new coding thought maybe something wrong opted easy install get needed done ha generally worked however trying download nltk library neither getting job done tried entering sudo pip install nltk got following response library framework python framework version bin pip run sat may downloading unpacking nltk getting page http pypi python org simple nltk could fetch url need reputation post link wa problem confirming ssl certificate skip url need reputation post link simple nltk looking download link nltk getting page need reputation post link simple could fetch url http pypi python org simple wa problem confirming ssl certificate skip url need reputation post link looking download link nltk fetch index base url need reputation post link url search version nltk need reputation post link getting page need reputation post link could fetch url need reputation post link wa problem confirming ssl certificate skip url need reputation post link looking download link nltk could find downloads satisfy requirement nltk distribution found nltk exception information traceback recent call last file library framework python framework version lib python site package pip py egg pip basecommand py line main status self run option args file library framework python framework version lib python site package pip py egg pip command install py line run requirement set prepare file finder force root egg info self bundle bundle self bundle file library framework python framework version lib python site package pip py egg pip req py line prepare file url finder find requirement req install upgrade self upgrade file library framework python framework version lib python site package pip py egg pip index py line find requirement raise distributionnotfound distribution found req distributionnotfound distribution found nltk easy install installed fragment library code ran trouble quickly upon trying run thought issue really appreciate feedback either get pip working something get around issue meantime,2017-08-08 17:11:07,2020-08-12 01:51:46,pip issue installing almost library,python pip nltk easy-install,26,1,37.0,,,CC BY-SA 3.0,9.13132166063771e-05
16650,16650,49964028,1,50342159.0,,2018-04-22 08:33:02,,42,55195,even though downloaded model load jalal goku entity sentiment analysis python scratch sjn anaconda bin python jalal goku entity sentiment analysis sudo python spacy download en sudo password jalal collecting http github com explosion spacy model release download en core web sm en core web sm tar gz downloading http github com explosion spacy model release download en core web sm en core web sm tar gz mb mb mb installing collected package en core web sm running setup py install en core web sm done successfully installed en core web sm linking successful usr lib python site package en core web sm usr lib python site package spacy data en load model via spacy load en import spacy nlp spacy load en oserror traceback recent call last import spacy nlp spacy load en scratch sjn anaconda lib python site package spacy init py load name override load example nnlp spacy load format depr path error return util load model name override scratch sjn anaconda lib python site package spacy util py load model name override elif hasattr name exists path path like model data return load model path name override raise ioerror find model name oserror find model en fix use sudo downloading en model get collecting http github com explosion spacy model release download en core web sm en core web sm tar gz downloading http github com explosion spacy model release download en core web sm en core web sm tar gz mb mb mb ta mb mb eta requirement already satisfied use upgrade upgrade en core web sm http github com explosion spacy model release download en core web sm en core web sm tar gz scratch sjn anaconda lib python site package using pip version however version available consider upgrading via pip install upgrade pip command error link model en creating symlink spacy data failed make sure required permission try running command admin use virtualenv still import model module call load method create symlink manually scratch sjn anaconda lib python site package en core web sm scratch sjn anaconda lib python site package spacy data en download successful linking failed creating shortcut link en work maybe admin permission still load model via full package name nlp spacy load en core web sm,2018-04-26 23:09:28,2020-06-19 14:55:25,spacy oserror find model en,nlp spacy,11,1,12.0,,,CC BY-SA 3.0,8.010113314449436e-05
6200,6200,26570944,1,26575754.0,,2014-10-26 07:52:51,,98,113655,code import nltk data tokenizer nltk data load nltk tokenizers punkt english pickle error message ec user ip sentiment python mapper local v py traceback recent call last file mapper local v py line tokenizer nltk data load nltk tokenizers punkt english pickle file usr lib python site package nltk data py line load opened resource open resource url file usr lib python site package nltk data py line open return find path path open file usr lib python site package nltk data py line find raise lookuperror resource found lookuperror resource u tokenizers punkt english pickle found please use nltk downloader obtain resource nltk download searched home ec user nltk data usr share nltk data usr local share nltk data usr lib nltk data usr local lib nltk data u trying run program unix machine per error message logged python shell unix machine used command import nltk nltk download downloaded available thing using loader l list option still problem persists tried best find solution internet got solution mentioned step,2014-12-09 15:03:23,2020-08-01 02:50:32,resource u tokenizers punkt english pickle found,python unix nltk,17,1,14.0,,,CC BY-SA 3.0,7.863049080250763e-05
3094,3094,17531684,1,17547860.0,,2013-07-08 16:35:31,,141,157521,looking way split text n gram normally would something like import nltk nltk import bigram string really like python pretty awesome string bigram bigram string print string bigram aware nltk offer bigram trigram way split text four gram five gram even hundred gram thanks,2015-11-09 03:42:23,2020-05-02 00:13:19,n gram python four five six gram,python string nltk n-gram,15,3,51.0,,,CC BY-SA 3.0,7.071137004888903e-05
22010,22010,57062456,1,,,2019-07-16 17:17:22,,12,17412,reimplementing text speech project facing function call stack kera scratch graph error decoder part network architecture deep voice paper using kera tf google colab code decoder kera model tf one shape def decoder name decoder decoder prenet din tf concat tf zero like hp mel hp mel key k input shape batch size name key vals k input shape batch size name vals prev max attention li tf one shape hp dlayer hp batch size dtype tf int prev max attention li k input tensor prev max attention li range hp dlayer dpout k layer dropout rate else hp dropout din fc k layer dense hp char embed activation relu dpout print print fc value fc print query pe k layer embedding hp ty hp char embed tf tile tf expand dims tf range hp ty hp r hp batch size key pe k layer embedding hp tx hp char embed tf tile tf expand dims tf range hp tx hp batch size alignment li max attention li range hp dlayer dpout k layer dropout rate fc query k layer conv hp datten size hp dfilter padding causal dilation rate dpout fc query fc tf math sqrt print print fc value fc print query fc query pe key key pe tensor alignment max attention attention name attention query key vals prev max attention li fc tensor query tf math sqrt alignment li append alignment max attention li append max attention decoder output fc dpout k layer dropout rate decoder output mel logits k layer dense hp mel hp r dpout dpout k layer dropout rate fc done output k layer dense dpout return k model input key vals output mel logits done output decoder output alignment li max attention li name name decode decoder kin tf one shape vin tf one shape print decode kin vin tf kera utils plot model decode file decoder png show shape true test data show error message going problem fc dun know pas fc output first loop second loop answer would appreciated file decoder py line decode decoder file decoder py line decoder dpout k layer dropout rate fc file user ydc dl npm lib python site package tensorflow python kera engine base layer py line call base layer utils create kera history input file user ydc dl npm lib python site package tensorflow python kera engine base layer utils py line create kera history created layer create kera history helper tensor set file user ydc dl npm lib python site package tensorflow python kera engine base layer utils py line create kera history helper layer input processed ops created layer file user ydc dl npm lib python site package tensorflow python kera engine base layer utils py line create kera history helper layer input processed ops created layer file user ydc dl npm lib python site package tensorflow python kera engine base layer utils py line create kera history helper layer input processed ops created layer file user ydc dl npm lib python site package tensorflow python kera engine base layer utils py line create kera history helper constant backend function op input file user ydc dl npm lib python site package tensorflow python kera backend py line call output self graph fn converted input file user ydc dl npm lib python site package tensorflow python eager function py line call return self call flat args file user ydc dl npm lib python site package tensorflow python eager function py line call flat output self inference function call ctx args file user ydc dl npm lib python site package tensorflow python eager function py line call ctx ctx file user ydc dl npm lib python site package tensorflow python eager execute py line quick execute six raise core status exception e code message none file line raise tensorflow python framework error impl failedpreconditionerror error reading resource variable anonymousvar container localhost could mean variable wa uninitialized found resource localhost anonymousvar n tensorflow vare doe exist node dense biasadd readvariableop defined decoder py op inference kera scratch graph function call stack kera scratch graph,2019-08-07 17:41:15,2020-08-06 09:45:12,function call stack kera scratch graph error,python tensorflow keras nlp tensorflow2.0,7,1,3.0,,,CC BY-SA 4.0,6.473421167921858e-05
1780,1780,22129943,1,22130100.0,,2014-03-02 16:04:53,,127,97838,according gensim word vec use word vec model gensim package calculate similarity word e g trained model similarity woman man however word vec model fails predict sentence similarity find lsi model sentence similarity gensim seem combined word vec model length corpus sentence long shorter word simple way achieve goal,2016-04-12 13:10:22,2020-01-08 06:38:49,calculate sentence similarity using word vec model gensim python,python gensim word2vec,13,4,77.0,,,CC BY-SA 3.0,5.9606343035252674e-05
84,84,8897593,1,8897648.0,,2012-01-17 15:51:09,,217,181701,looking working nlp project programming language though python preference want take two document determine similar,2019-02-19 17:11:44,2020-05-13 06:14:59,compute similarity two text document,nlp,10,1,179.0,,,CC BY-SA 4.0,5.614956484972162e-05
14682,14682,47295316,1,47297686.0,,2017-11-14 21:15:08,,39,53109,working codebase us spacy installed spacy using sudo pip install spacy sudo python spacy download en end last command got message linking successful home rayabhik local lib python site package en core web sm home rayabhik local lib python site package spacy data en load model via spacy load en try running code line spacy en import english give following error importerror module named spacy en looked stackexchange closest import error spacy module named en doe solve problem help would appreciated thanks edit might solved following python default sep gcc linux type help copyright credit license information import spacy spacy load en using spacy lang en import english still keeping open case answer,2018-03-28 08:05:49,2020-06-01 23:52:15,importerror module named spacy en,python spacy,10,5,8.0,,,CC BY-SA 3.0,5.5095370540910394e-05
