,Unnamed: 0,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,HotScore,nltk,spacy,gensim,stanford-nlp,scikit-learn
23335,23335,58636587,1,,,2019-10-31 03:34:11,,16,7533,know bert ha max length limit token acticle ha length much bigger token text bert used,2019-11-05 22:56:47,2020-09-02 12:11:33,use bert long text classification,nlp text-classification bert-language-model,5,0,3.0,,,CC BY-SA 4.0,9.251026761830646e-05,False,False,False,False,False
22010,22010,57062456,1,,,2019-07-16 17:17:22,,12,17412,reimplementing text speech project facing function call stack kera scratch graph error decoder part network architecture deep voice paper using kera tf google colab code decoder kera model test data show error message going problem fc dun know pas fc output first loop second loop answer would appreciated,2019-08-07 17:41:15,2020-08-06 09:45:12,function call stack kera scratch graph error,python tensorflow keras nlp tensorflow2.0,7,1,3.0,,,CC BY-SA 4.0,6.473421167921858e-05,False,False,False,False,False
84,84,8897593,1,8897648.0,,2012-01-17 15:51:09,,217,181701,looking working nlp project programming language though python preference want take two document determine similar,2019-02-19 17:11:44,2020-05-13 06:14:59,compute similarity two text document,nlp,10,1,179.0,,,CC BY-SA 4.0,5.614956484972162e-05,False,False,False,False,False
7579,7579,34870614,1,34877590.0,,2016-01-19 07:14:40,,161,68344,understand duty function like lookup table mean return parameter corresponding id id instance model use find correspond embedding,2018-07-13 12:19:33,2018-08-05 11:52:02,doe tf nn embedding lookup function,python tensorflow deep-learning word-embedding natural-language-processing,8,1,60.0,,,CC BY-SA 3.0,5.1850114092178725e-05,False,False,False,False,False
25369,25369,60492839,1,60493083.0,,2020-03-02 16:20:07,,11,3518,using huggingface transformer package access pretrained model use case need functionality english arabic using bert base multilingual cased pretrained model need able compare similarity sentence using something cosine similarity use first need get embedding vector sentence compute cosine similarity firstly best way extratc semantic embedding bert model would taking last hidden state model fed sentence suffice secondly sufficient way get embeddings sentence another problem embedding vector different length depending length original sentence shape output value order compute two vector cosine similarity need length could something naive first summing across still work option,2020-03-02 16:25:55,2020-03-03 09:31:58,compare sentence similarity using embeddings bert,python vector nlp cosine-similarity huggingface-transformers,2,0,5.0,,,CC BY-SA 4.0,4.444430359993805e-05,False,False,False,False,False
17223,17223,50747947,1,,,2018-06-07 18:29:18,,39,47583,checked pytorch tutorial question similar one stackoverflow get confused doe embedding pytorch embedding make similar word closer need give sentence lookup table need code model,2019-08-29 16:34:17,2020-08-29 13:44:55,embedding pytorch,pytorch word-embedding,4,0,14.0,,,CC BY-SA 4.0,4.297356986464917e-05,False,False,False,False,False
8580,8580,36952763,1,36956440.0,,2016-04-30 08:45:50,,48,93639,using anaconda python window training language model using kera exmaple according kera documentation method return history callback ha history attribute containing list successive loss metric training model run get error return model history training model code update issue wa following first defined callback option called print return even though ran iteration,2017-03-10 15:21:49,2020-10-17 15:23:03,return history validation loss kera,python neural-network nlp deep-learning keras,10,2,12.0,,,CC BY-SA 3.0,4.197199211712986e-05,False,False,False,False,False
11634,11634,42821330,1,44891281.0,,2017-03-15 21:49:19,,35,11035,restore original text kera imdb dataset want restore imdb original text kera imdb dataset first load kera imdb dataset returned sequence word index found imdb get word index method return word index dictionary like create make converting create index word dictionary tried restore original text like following good english know sentence something strange happened restore original text,2017-07-12 08:30:30,2020-10-09 02:36:06,restore original text kera imdb dataset,python machine-learning neural-network nlp keras,9,0,6.0,,,CC BY-SA 3.0,3.930853484120595e-05,False,False,False,False,False
5080,5080,29760935,1,,,2015-04-21 00:46:52,,75,60711,generated vector list token large document using word vec given sentence possible get vector sentence vector token sentence,,2019-12-09 15:37:08,get vector sentence word vec token sentence,word2vec,9,0,55.0,,,CC BY-SA 3.0,3.3002327293183156e-05,False,False,False,False,False
18116,18116,51956000,1,51956230.0,,2018-08-21 20:08:48,,69,43736,occasion circumstance require u following invariably chant mantra le understand total effect figure one doe separately regardless much research including obviously documentation think ever seen one without doe circumstance would use either one without simply combined something like apology missing something obvious pretty new,2018-12-25 11:38:07,2019-06-22 11:09:42,doe kera tokenizer method exactly,python keras nlp,3,1,23.0,,,CC BY-SA 4.0,3.150686172923832e-05,False,False,False,False,False
