,Unnamed: 0,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,HotScore
7835,7835,60853257,1,,,2020-03-25 16:39:07,,14,1510,project using recognitionlistener written kotlin speech text function wa always success never presented problem since last week onresult function started called twice change made project tested old version project month ago problem three different case small text word speechrecognizer stopped automatically onresult called twice big text word speechrecognizer stopped automatically normal behavior onresult called text size speechrecognizer stoplistening function called manually code normal behavior voicerecognition speech text class code class voicerecognition private val activity activity language string pt br recognitionlistener private val audiologtag audioinput var voicerecognitionintenthandler voicerecognitionintenthandler null var voicerecognitiononresultlistener voicerecognitiononresultlistener null must var voicerecognitionlayoutchanger voicerecognitionlayoutchanger null var islistening false private val intent intent private var speech speechrecognizer speechrecognizer createspeechrecognizer activity init speech setrecognitionlistener intent intent recognizerintent action recognize speech intent putextra recognizerintent extra language model recognizerintent language model free form intent putextra recognizerintent extra language language important put function inside clicklistener fun listen boolean contextcompat checkselfpermission activity manifest permission record audio packagemanager permission granted activitycompat requestpermissions activity arrayof manifest permission record audio return false speech startlistening intent log audiologtag startlistening return true use want stop listening still get recognition result fun endlistening log audiologtag stoplistening speech stoplistening islistening false fun cancellistening log audiologtag cancellistening speech cancel voicerecognitionlayoutchanger endlisteningchangelayout islistening false override fun onreadyforspeech p bundle log audiologtag onreadyforspeech voicerecognitionlayoutchanger startlisteningchangelayout islistening true override fun onrmschanged p float log audiologtag onrmschanged p progressbar setprogress int p override fun onbufferreceived p bytearray log audiologtag onbufferreceived p override fun onpartialresults p bundle log audiologtag onpartialresults override fun onevent p int p bundle log audiologtag onevent override fun onbeginningofspeech log audiologtag onbeginningofspeech override fun onendofspeech log audiologtag onendofspeech voicerecognitionlayoutchanger endlisteningchangelayout islistening false override fun onerror p int speech cancel val errormessage geterrortext p log audiologtag failed errormessage voicerecognitionlayoutchanger endlisteningchangelayout islistening false override fun onresults p bundle val result arraylist p getstringarraylist speechrecognizer result recognition arraylist log audiologtag onresults result size val voiceintent int voicerecognitionintenthandler getintent result voiceintent null voiceintent voicerecognitionintenthandler handle voiceintent return voicerecognitiononresultlistener onresult result private fun geterrortext errorcode int string val message string errorcode speechrecognizer error audio message audio recording error speechrecognizer error client message client side error speechrecognizer error insufficient permission message insufficient permission speechrecognizer error network message network error speechrecognizer error network timeout message network timeout speechrecognizer error match message match speechrecognizer error recognizer busy message recognitionservice busy speechrecognizer error server message error server speechrecognizer error speech timeout message speech input else message understand please try return message use overriden onpause function fun onpause voicerecognitionlayoutchanger endlisteningchangelayout islistening false speech cancel log audiologtag pause use overriden ondestroy function fun ondestroy speech destroy listen endlistening cancellistening called button,,2020-07-22 17:34:27,android recognitionlistener onresults called twice,android kotlin speech-to-text voice-recognition,6,7,4.0,,,CC BY-SA 4.0,0.00013554492869693766
4668,4668,44397506,1,,,2017-06-06 18:39:16,,39,74514,unable import google cloud speech google cloud import speech installed using pip install upgrade google cloud speech dir name giving error importing dir name importerror module named google cloud google package sub package present without init py every sub package well import package without adding init py package folder p also tried future import absolute import working,,2020-08-18 19:16:23,importerror module named google cloud,python-2.7 python-import google-speech-api google-cloud-speech,10,2,2.0,,,CC BY-SA 3.0,5.0179055296089554e-05
4078,4078,40950791,1,40950987.0,,2016-12-03 17:55:26,,66,224513,python code recognize speech using google stt engine give back result get result string quote want quote code use run many command work tried anything far get anything try function python code recognize speech def recog p subprocess popen speech recog sh stdout subprocess pipe stderr subprocess pipe global err err p communicate print speech recog sh bin bash hardware plughw duration lang en hw bool dur bool lang bool var var hw bool elif var dur bool elif var l lang bool elif hw bool hw bool hardware var elif dur bool dur bool duration var elif lang bool lang bool lang var else echo invalid option valid option hardware duration fi done arecord hardware f le wav duration r flac f best sample rate dev shm flac dev shm voice log dev shm voice log curl x post data binary dev shm flac user agent mozilla header content type audio x flac rate http www google com speech api v recognize output json lang lang key key client mozilla sed e g awk f print awk f print tr n rm dev shm flac wa taken steven hickson voicecommand program made raspberry pi,2016-12-03 18:02:08,2020-09-01 08:31:35,remove quote string python,python string speech-recognition google-voice,6,2,17.0,,,CC BY-SA 3.0,4.298662348542077e-05
6367,6367,54265423,1,54266831.0,,2019-01-19 08:44:51,,13,8468,used speechsynthesis api way speechsynthesis speak new speechsynthesisutterance hello world right get error update google chrome deprecation speechsynthesis speak without user activation longer allowed since around december see http www chromestatus com feature detail speechsynthesismessage application c c c ae c e f da dad e f eea c ebd j fix issue ask permission,,2020-06-16 06:04:26,javascript speechsynthesis speak without user activation longer allowed since,javascript google-chrome speech-synthesis,5,0,1.0,,,CC BY-SA 4.0,3.2359414530212686e-05
5414,5414,48720306,1,48734637.0,,2018-02-10 11:34:47,,21,23972,followed google cloud speech api quickstart requesting api using curl h content type application json h authorization bearer gcloud auth application default print access token http speech googleapis com v speech recognize sync request json following link got error error code message request invalid authentication credential expected oauth access token login cookie valid authentication credential see http developer google com identity sign web devconsole project status unauthenticated thanx advance,2018-02-10 12:04:53,2020-07-22 00:13:12,request invalid authentication credential expected oauth access token error cloud speech api,api oauth google-cloud-platform google-speech-api,4,0,5.0,,,CC BY-SA 3.0,2.337162785943452e-05
1544,1544,21513706,1,22978802.0,,2014-02-02 17:25:55,,55,29047,following html show empty array console first click doctype html test second click get expected list add event call function get correct result first click note first call still work properly return empty page load work afterward question since might bug beta version gave question question want access window speechsynthesis page load best hack issue make sure load page load background test wa testing new feature web speech api got problem code click ready work question wa doe window speechsynthesis getvoices return empty array page loaded function triggered see click link function return array available voice chrome triger seems chrome load window speechsynthesis page load problem event remove line var voice function first click show empty list console second click work fine seems window speechsynthesis need time load first call need call twice also need wait let load second call window speechsynthesis example following code show two empty array console run first time first speechsynthesis call var voice window speechsynthesis getvoices console log voice second speechsynthesis call voice window speechsynthesis getvoices console log voice,2019-11-25 02:49:03,2020-02-03 15:25:28,getting list voice speechsynthesis web speech api,dom-events voice speech-synthesis webspeech-api,10,4,8.0,,,CC BY-SA 4.0,2.1744141749191903e-05
1961,1961,21947730,1,,,2014-02-22 00:12:51,,44,23406,getting problem trying use speech synthesis api chrome work perfectly shorter text try longer text stop middle ha stopped like speech synthesis doe work anywhere within chrome browser restarted example code http jsfiddle net mdm function speak text var msg new speechsynthesisutterance var voice speechsynthesis getvoices msg voice voice msg voiceuri native msg volume msg rate msg pitch msg text text msg lang en u speechsynthesis speak msg speak short text speak collaboratively administrate empowered market via plug play network dynamically procrastinate b c user installed base benefit dramatically visualize customer directed convergence without revolutionary roi efficiently unleash cross medium information without cross medium value quickly maximize timely deliverable real time schema dramatically maintain click mortar solution without functional solution speak another short text stop speaking middle second text get page speak browser bug kind security limitation,,2020-03-18 16:51:13,chrome speech synthesis longer text,javascript google-chrome speech-synthesis,12,7,27.0,,,CC BY-SA 3.0,2.1686995377870997e-05
929,929,17616994,1,17674655.0,,2013-07-12 14:14:10,,78,186355,look though google ha made offline speech recognition available google third party apps used app named utter ha anyone seen implementation simple voice command offline speech rec use regular speechrecognizer api work automatically,2013-11-20 16:07:23,2019-10-24 23:48:33,offline speech recognition android jellybean,android speech-recognition offline speech-to-text google-now,8,1,52.0,,,CC BY-SA 3.0,2.1129734933402086e-05
4665,4665,44504899,1,50118014.0,,2017-06-12 16:59:06,,12,31471,getting something like anyone please tell fix c user krush document ml using python pip install pocketsphinx collecting pocketsphinx using cached pocketsphinx zip building wheel collected package pocketsphinx running setup py bdist wheel pocketsphinx started running setup py bdist wheel pocketsphinx finished status error complete output command c user krush anaconda python exe u c import setuptools tokenize file c user krush appdata local temp pip build cns wb pocketsphinx setup py f getattr tokenize open open file code f read replace r n n f close exec compile code file exec bdist wheel c user krush appdata local temp tmp tyvnl wpip wheel python tag cp running bdist wheel running build ext building sphinxbase ad extension swigging swig sphinxbase ad swig sphinxbase ad wrap c swig exe python modern ideps sphinxbase include ideps sphinxbase include sphinxbase ideps sphinxbase include win ideps sphinxbase swig outdir sphinxbase swig sphinxbase ad wrap c swig sphinxbase ad error command swig exe failed file directory failed building wheel pocketsphinx running setup py clean pocketsphinx failed build pocketsphinx installing collected package pocketsphinx running setup py install pocketsphinx started running setup py install pocketsphinx finished status error complete output command c user krush anaconda python exe u c import setuptools tokenize file c user krush appdata local temp pip build cns wb pocketsphinx setup py f getattr tokenize open open file code f read replace r n n f close exec compile code file exec install record c user krush appdata local temp pip x mxeczy record install record txt single version externally managed compile running install running build ext building sphinxbase ad extension swigging swig sphinxbase ad swig sphinxbase ad wrap c swig exe python modern ideps sphinxbase include ideps sphinxbase include sphinxbase ideps sphinxbase include win ideps sphinxbase swig outdir sphinxbase swig sphinxbase ad wrap c swig sphinxbase ad error command swig exe failed file directory command c user krush anaconda python exe u c import setuptools tokenize file c user krush appdata local temp pip build cns wb pocketsphinx setup py f getattr tokenize open open file code f read replace r n n f close exec compile code file exec install record c user krush appdata local temp pip x mxeczy record install record txt single version externally managed compile failed error code c user krush appdata local temp pip build cns wb pocketsphinx,2017-06-12 18:44:39,2020-09-29 17:30:52,installing pocketsphinx python module command swig exe failed,python swig pocketsphinx,8,2,1.0,,,CC BY-SA 3.0,2.0253679253672413e-05
5916,5916,51510129,1,,,2018-07-25 02:50:25,,16,4951,learning android development first time goal create simple hello world application take text read loud based code example found code class mainfeeds appcompatactivity override fun oncreate savedinstancestate bundle super oncreate savedinstancestate setcontentview r layout activity main feed card setonclicklistener toast maketext hello toast length long show tt hello leo class tt private val activity activity private val message string texttospeech oninitlistener private val tt texttospeech texttospeech activity com google android tt override fun oninit int texttospeech success val localeus locale u val result int result tt setlanguage localeus result texttospeech lang missing data result texttospeech lang supported toast maketext activity language supported toast length short show else speakout message else toast maketext activity initilization failed toast length short show private fun speakout message string tt speak message texttospeech queue flush null null work perfectly fine issue running audio coming synthesizer sound extremely robotic almost like using google map get disconnected internet using voice google assistant leverage api enable edit tried running app pixel xl still sound robotic using google assistant voice,2018-07-28 07:57:11,2020-09-09 09:36:21,android text speech api sound robotic,android text-to-speech voice speech-synthesis google-text-to-speech,2,3,6.0,,,CC BY-SA 4.0,2.0112162735123117e-05
