,tag,a,b,c,h1,h2
2,opencv,50000,59251,50000,0.843867614048708,1.0
8,image-processing,7912,36055,50000,0.2194425183747053,0.15824
9,object-detection,584,3026,50000,0.19299405155320556,0.01168
19,computer-vision,4024,12009,50000,0.3350820218169706,0.08048
45,emgucv,744,2077,50000,0.3582089552238806,0.01488
57,camera-calibration,609,1068,50000,0.5702247191011236,0.01218
59,ocr,534,4809,50000,0.11104179663131628,0.01068
79,mat,571,863,50000,0.6616454229432214,0.01142
107,opencv3.0,1090,2202,50000,0.4950045413260672,0.0218
139,javacv,557,987,50000,0.5643363728470111,0.01114
