,tag,a,b,c,h1,h2
2,speech-recognition,4154,4523,4154,0.9184169798806102,1.0
3,speech-to-text,800,1890,4154,0.42328042328042326,0.19258545979778527
4,google-speech-api,191,755,4154,0.25298013245033113,0.045979778526721235
6,voice-recognition,256,1354,4154,0.18906942392909898,0.061627347135291284
8,cmusphinx,256,682,4154,0.375366568914956,0.061627347135291284
9,sphinx4,92,255,4154,0.3607843137254902,0.022147327876745306
12,speech,240,897,4154,0.26755852842809363,0.05777563793933558
18,sapi,96,415,4154,0.23132530120481928,0.023110255175734232
22,pocketsphinx,136,451,4154,0.30155210643015523,0.0327395281656235
69,speech-synthesis,52,383,4154,0.13577023498694518,0.012518054886856042
108,google-cloud-speech,54,491,4154,0.109979633401222,0.012999518536350506
142,mfcc,77,260,4154,0.29615384615384616,0.01853635050553683
