,tag,a,b,c,h1,h2
1,nlp,13698,14458,13698,0.9474339466039563,1.0
2,sentiment-analysis,324,1579,13698,0.2051931602279924,0.023653088042049936
6,stanford-nlp,1231,3125,13698,0.39392,0.08986713388815885
15,nltk,1853,6231,13698,0.29738404750441344,0.13527522266024236
18,spacy,1053,2204,13698,0.47776769509981853,0.07687253613666228
23,bert-language-model,192,444,13698,0.43243243243243246,0.01401664476565922
37,opennlp,319,668,13698,0.47754491017964074,0.023288071251277558
38,ner,219,426,13698,0.5140845070422535,0.01598773543583005
55,word-embedding,315,762,13698,0.41338582677165353,0.022996057818659658
60,n-gram,183,757,13698,0.24174372523117568,0.013359614542268944
62,text-mining,336,2318,13698,0.1449525452976704,0.024529128339903637
63,named-entity-recognition,283,584,13698,0.4845890410958904,0.020659950357716454
67,word2vec,607,1801,13698,0.337034980566352,0.04431303839976639
68,gensim,493,1896,13698,0.2600210970464135,0.035990655570156224
72,tf-idf,186,1140,13698,0.1631578947368421,0.01357862461673237
101,text-classification,295,1350,13698,0.21851851851851853,0.021535990655570155
114,lda,139,1010,13698,0.13762376237623763,0.01014746678347204
115,topic-modeling,148,766,13698,0.19321148825065274,0.010804497006862316
166,pos-tagger,213,535,13698,0.3981308411214953,0.015549715286903198
202,huggingface-transformers,144,424,13698,0.33962264150943394,0.010512483574244415
231,wordnet,250,866,13698,0.28868360277136257,0.018250839538618776
